YEAR,CATEGORY,PRIMARY_DISABILITY,TOTAL
2016,Left Mid-Year,Orthopedic Impairment,1
2016,Enrolled Mid-Year,None,43
2016,Enrolled Mid-Year,Autism,0
2016,Enrolled Mid-Year,Emotional Disturbance,3
2016,Enrolled Mid-Year,Gifted without Disability,0
2016,Enrolled Mid-Year,Intellectual Disability,1
2016,Enrolled Mid-Year,Other Health Impairment,2
2016,Enrolled Mid-Year,Specific Learning Disability,5
2016,Enrolled Mid-Year,Speech or Language Impairment,1
2016,Enrolled Mid-Year,Visual Impairment including Blindness,0
2016,Enrolled Mid-Year,Orthopedic Impairment,1
2016,Graduated,None,166
2016,Graduated,Autism,0
2016,Graduated,Emotional Disturbance,4
2016,Graduated,Gifted without Disability,6
2016,Graduated,Intellectual Disability,0
2016,Graduated,Other Health Impairment,2
2016,Graduated,Specific Learning Disability,24
2016,Graduated,Speech or Language Impairment,5
2016,Graduated,Visual Impairment including Blindness,0
2016,Graduated,Orthopedic Impairment,0
