school,start,end,startLabel,endLabel,region,status
Philadelphia Electrical and Technology Charter School,2002,2020,,,Center City,Open
Philadelphia Hebrew Public Charter School,2019,2020,,,East Falls,Open
Philadelphia Montessori Charter School,2004,2020,,,Southwest,Open
Philadelphia Performing Arts: A String Theory Charter School,2000,2020,,,South Philadelphia,Open
"Preparatory Charter School of Mathematics, Science, Technology and Careers",2002,2020,,,South Philadelphia,Open
Richard Allen Preparatory Charter School,2001,2020,,,Southwest Philadelphia,Open
Russell Byers Charter School,2000,2020,,,Logan Square,Open
Sankofa Freedom Academy Charter School,2009,2020,,,East Kensington,Open
Southwest Leadership Academy Charter School,2007,2020,,,Southwest,Open
Tacony Academy Charter School,2009,2020,,,Fox Chase,Open
TECH Friere Charter School,2016,2020,,,North Philadelphia,Open
The Philadelphia Charter School for Arts & Sciences at H.R. Edmunds,2012,2020,,,Northwood,Open
Universal Charter School at Alcorn,2013,2020,,,Grays Ferry,Open
Universal Charter School at Audenried,2011,2020,,,Grays Ferry,Open
Universal Charter School at Bluford,2010,2020,,,Carroll Park,Open
Universal Charter School at Creighton,2012,2020,,,Lawncrest,Open
Universal Charter School at Daroff,2010,2020,,,Haddington,Open
Universal Charter School at Vare,2011,2020,,,South Philadelphia,Open
Universal Institute Charter School,1999,2020,,,Point Breeze,Open
West Oak Lane Charter School,1998,2020,,,West Oak Lane,Open
West Philadelphia Achievement Charter School,2001,2020,,,Morris Park,Open
Wissahickson Charter School,2002,2020,,,Hunting Park,Open
Young Scholars Charter School,1999,2020,,,East Poplar,Open
YouthBuild Philadelphia Charter School,1997,2020,,,Yorktown,Open
